"State","Estado"
"State/Region","Estado"
"Subtotal (Excl. Tax)","Subtotal (Excl. Impostos)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Impostos)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Impostos)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Impostos)"
"Tax","Impostos"
"Tax Calculation Based On","Cálculo de Imposto Baseado Em"
"Tax Calculation Method Based On","Método de Cálculo de Imposto Baseado Em"
"Tax Class for Shipping","Classe de Imposto para Frete"
"Tax Classes","Classes de Imposto"
"Tax Identifier","Identificador de Imposto"
"Tax Rate","Taxa de Imposto"
"Tax Rate Information","Informações de Taxa de Imposto"
"Tax Rule Information","Informações de Regra de Imposto"
"Tax Rules","Regras de Imposto"
"Tax Section","Sessão de Imposto"
"Tax Titles","Títulos de Imposto"
"Tax rate cannot be removed. It exists in tax rule","A taxa de imposto não pode ser removida. Ela existe na regra de imposto"
"Tax rates at the same priority are added, others are compounded.","Taxas de imposto de mesma prioridade são somadas, outras são compostas."
"The tax class has been deleted.","A classe de imposto foi deletada com sucesso."
"The tax class has been saved.","A classe de imposto foi salva com sucesso."
"The tax rate has been deleted.","A taxa de imposto foi deletada com sucesso."
"The tax rate has been imported.","A taxa de imposto foi importada com sucesso."
"The tax rate has been saved.","A taxa de imposto foi salva com sucesso."
"The tax rule has been deleted.","A regra de imposto foi deletada com sucesso."
"The tax rule has been saved.","A regra de imposto foi deletada com sucesso."
"This class no longer exists","Essa classe não existe mais"
"This rule no longer exists","Essa regra não existe mais"
"This rule no longer exists.","Essa regra não existe mais."
"Total","Total"
"Unit Price","Preço Unitário"
"Whether catalog prices entered by admin include tax.","Dita se os preços de catálogo digitados pelo admin devem ou não incluir impostos."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Dita se os valores de frete digitados pelo admin ou obtidos via gateways devem ou não incluir impostos."
"Yes","Sim"
"You cannot delete this tax class as it is used for %d customer groups.","Você não pode deletar essa classe de imposto porque ela está sendo usada por %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","Você não pode deletar essa classe de imposto porque ela está sendo usada por %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Você não pode deletar essa classe de imposto pois ela está sendo usada dentro de uma regra de imposto. Você deve primeiro deletar a regra da qual ela faz parte."
"Zip/Post Code","CEP"
"Zip/Post is Range","CEPs são uma faixa"
