"An error occurred while creating the image.","Ocorreu um erro ao criar a imagem."
"The image does not exist or is invalid.","A imagem não existe ou é inválida."
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Esse contéudo depende da última versão do Adobe Flash Player. <a href=""%s"">Faça Download do Flash</a>"
